player1_id,player1_tag,player2_id,player2_tag,winner_id,winner_tag,loser_id,loser_tag,score,set_id,tournament_name,tournament_date
2359922,Booju,1445259,abc,1445259,abc,2359922,Booju,'2-1,83071855,Pace Smash Weekly Fall 2024 #8,2024-12-07
1445259,abc,1751957,Tendonitis,1445259,abc,1751957,Tendonitis,'2-0,83071850,Pace Smash Weekly Fall 2024 #8,2024-12-07
708513,victory,1445259,abc,1445259,abc,708513,victory,'2-0,83071919,Pace Smash Weekly Fall 2024 #8,2024-12-07
708513,victory,1751957,Tendonitis,708513,victory,1751957,Tendonitis,'2-0,83071913,Pace Smash Weekly Fall 2024 #8,2024-12-07
2496977,Sampai,1459868,Re: VexZan,1459868,Re: VexZan,2496977,Sampai,'0-3,84196129,Monday Night Mix 18 @ The New Yorker Hotel,2025-01-14
185802,EJJ,1445259,abc,185802,EJJ,1445259,abc,'3-0,84859268,TGC WANTED #14,2025-02-01
3416651,Dreamflasher,1445259,abc,1445259,abc,3416651,Dreamflasher,'2-1,85114864,Pace Smash Weekly Spring 2025 #1,2025-02-08
185802,EJJ,1445259,abc,185802,EJJ,1445259,abc,'3-0,85137895,Pace Smash Weekly Spring 2025 #1,2025-02-08
1445259,abc,1986069,Jager,1445259,abc,1986069,Jager,'0-2,85114870,Pace Smash Weekly Spring 2025 #1,2025-02-08
185802,EJJ,3416651,Dreamflasher,3416651,Dreamflasher,185802,EJJ,'1-2,86845288,St. John's Smash Weekly Spring 2025 #2,2025-03-22
2496977,Sampai,1459868,Re: VexZan,1459868,Re: VexZan,2496977,Sampai,'2-1,86847640,TGC WANTED #21,2025-03-22
1445259,abc,1986069,Jager,1445259,abc,1986069,Jager,'0-2,87679271,Pace Smash Weekly Spring 2025 #4,2025-04-12
708513,victory,1445259,abc,1445259,abc,708513,victory,'2-1,87679269,Pace Smash Weekly Spring 2025 #4,2025-04-12
185802,EJJ,1986069,Jager,185802,EJJ,1986069,Jager,'2-1,87944632,Pace Smash Weekly Spring 2025 #5 - FINAL WEEKLY!,2025-04-19
1445259,abc,850212,Himalaya,1445259,abc,850212,Himalaya,'2-1,87944634,Pace Smash Weekly Spring 2025 #5 - FINAL WEEKLY!,2025-04-19
3416651,Dreamflasher,850212,Himalaya,3416651,Dreamflasher,850212,Himalaya,'2-0,88315521,Pace & SJU Present: Waypoint but BIGGER,2025-04-26
3416651,Dreamflasher,1459868,Re: VexZan,3416651,Dreamflasher,1459868,Re: VexZan,'0-2,89030454,Game Night at Dave and Busters #54,2025-05-15
185802,EJJ,703199,Molotov,185802,EJJ,703199,Molotov,'3-0,92142402,The Movitational,2025-08-02
185802,EJJ,703199,Molotov,185802,EJJ,703199,Molotov,'3-0,92218539,The Movitational,2025-08-02
185802,EJJ,1986069,Jager,185802,EJJ,1986069,Jager,'2-0,93413627,Waypoint Warriors 233,2025-09-03
2359922,Booju,850212,Himalaya,850212,Himalaya,2359922,Booju,'0-2,93697713,Waypoint Warriors 234,2025-09-10
2496977,Sampai,850212,Himalaya,850212,Himalaya,2496977,Sampai,'2-0,93786112,TGC WANTED #27,2025-09-13
3416651,Dreamflasher,850212,Himalaya,3416651,Dreamflasher,850212,Himalaya,'3-0,94061559,TGC WANTED #28,2025-09-20
3416651,Dreamflasher,1986069,Jager,3416651,Dreamflasher,1986069,Jager,'2-0,94061551,TGC WANTED #28,2025-09-20
850212,Himalaya,1986069,Jager,850212,Himalaya,1986069,Jager,'2-1,94341712,TGC WANTED #29,2025-09-27
979064,YajYaj,708513,victory,708513,victory,979064,YajYaj,'0-3,94334903,Pace Esports Club Presents: The Smash Society!,2025-09-27
979064,YajYaj,2359922,Booju,2359922,Booju,979064,YajYaj,'2-3,94334935,Pace Esports Club Presents: The Smash Society!,2025-09-27
708513,victory,2359922,Booju,2359922,Booju,708513,victory,'2-3,94334904,Pace Esports Club Presents: The Smash Society!,2025-09-27
708513,victory,2359922,Booju,708513,victory,2359922,Booju,'2-3,94334905,Pace Esports Club Presents: The Smash Society!,2025-09-27
708513,victory,2359922,Booju,708513,victory,2359922,Booju,'2-3,94334902,Pace Esports Club Presents: The Smash Society!,2025-09-27
3416651,Dreamflasher,850212,Himalaya,3416651,Dreamflasher,850212,Himalaya,'0-3,94611937,TGC WANTED #30,2025-10-04
2359922,Booju,1445259,abc,2359922,Booju,1445259,abc,'2-3,94878685,Pace Esports Club Presents: The Smash Society! 2,2025-10-11
2496977,Sampai,1445259,abc,1445259,abc,2496977,Sampai,'3-1,94878716,Pace Esports Club Presents: The Smash Society! 2,2025-10-11
2496977,Sampai,1751957,Tendonitis,2496977,Sampai,1751957,Tendonitis,'3-0,94878714,Pace Esports Club Presents: The Smash Society! 2,2025-10-11
979064,YajYaj,2359922,Booju,2359922,Booju,979064,YajYaj,'3-1,94878687,Pace Esports Club Presents: The Smash Society! 2,2025-10-11
979064,YajYaj,708513,victory,708513,victory,979064,YajYaj,'1-3,94878719,Pace Esports Club Presents: The Smash Society! 2,2025-10-11
979064,YajYaj,708513,victory,979064,YajYaj,708513,victory,'3-1,94878686,Pace Esports Club Presents: The Smash Society! 2,2025-10-11
979064,YajYaj,1751957,Tendonitis,979064,YajYaj,1751957,Tendonitis,'2-1,94878683,Pace Esports Club Presents: The Smash Society! 2,2025-10-11
708513,victory,2359922,Booju,708513,victory,2359922,Booju,'2-3,94878688,Pace Esports Club Presents: The Smash Society! 2,2025-10-11
708513,victory,2359922,Booju,708513,victory,2359922,Booju,'3-2,94878689,Pace Esports Club Presents: The Smash Society! 2,2025-10-11
708513,victory,1445259,abc,708513,victory,1445259,abc,'0-3,94878718,Pace Esports Club Presents: The Smash Society! 2,2025-10-11
708513,victory,2496977,Sampai,708513,victory,2496977,Sampai,'2-0,94878684,Pace Esports Club Presents: The Smash Society! 2,2025-10-11
3416651,Dreamflasher,1986069,Jager,1986069,Jager,3416651,Dreamflasher,'1-2,95127294,TGC WANTED #32,2025-10-18
850212,Himalaya,1986069,Jager,850212,Himalaya,1986069,Jager,'2-0,95326729,Game Night at Dave and Busters #71 $50 prize SSBU,2025-10-23
