player_id,player_tag,tournament_id,tournament_name,tournament_slug,tournament_date,placement,event_name,total_entrants
2359922,Booju,737156,Pace Smash Weekly Fall 2024 #8,tournament/pace-smash-weekly-fall-2024-8,2024-12-07,9,Ultimate Singles,19
2359922,Booju,726790,The MDVA Ultimate Winter 2024 Arcadian- The Last Hurrah,tournament/the-mdva-ultimate-winter-2024-arcadian-the-last-hurrah,2024-12-21,17,Arcadian Doubles!,23
2359922,Booju,773076,Pace Smash Weekly Spring 2025 #4,tournament/pace-smash-weekly-spring-2025-4,2025-04-12,13,Ultimate Singles,23
2359922,Booju,778963,Pace Smash Weekly Spring 2025 #5 - FINAL WEEKLY!,tournament/pace-smash-weekly-spring-2025-5-final-weekly,2025-04-19,13,Ultimate Singles,46
2359922,Booju,775244,Pace & SJU Present: Waypoint but BIGGER,tournament/pace-sju-present-waypoint-but-bigger,2025-04-26,17,Singles,69
2359922,Booju,795103,Waypoint Warriors 223,tournament/waypoint-warriors-223,2025-06-04,34,Smash Ultimate Singles,67
2359922,Booju,797300,Waypoint Warriors 224,tournament/waypoint-warriors-224,2025-06-11,17,Smash Ultimate Singles,48
2359922,Booju,777707,Supernova 2025,tournament/supernova-2025,2025-08-07,0,Unknown,0
2359922,Booju,771017,Supernova Pre-local 2025 at The Outer Limits!,tournament/supernova-pre-local-2025-at-the-outer-limits,2025-08-07,17,Squad Strike,25
2359922,Booju,827007,Waypoint Warriors 234,tournament/waypoint-warriors-234,2025-09-10,13,Smash Ultimate Singles,30
2359922,Booju,832247,Pace Esports Club Presents: The Smash Society!,tournament/pace-esports-club-presents-the-smash-society,2025-09-27,2,Ultimate Singles,9
2359922,Booju,837723,Pace Esports Club Presents: The Smash Society! 2,tournament/pace-esports-club-presents-the-smash-society-2,2025-10-11,2,Ultimate Singles,13
2359922,Booju,841843,Pace Esports Club Presents: The Smash Society! 3,tournament/pace-esports-club-presents-the-smash-society-3,2025-10-25,1,Ultimate Singles,8
2359922,Booju,848440,Pace Esports Club Presents: The Smash Society! 4,tournament/pace-esports-club-presents-the-smash-society-4,2025-11-08,2,Ultimate Singles,11
4780618,Dan_Zz 0_0,750278,Collision 2025,tournament/collision-2025-8,2025-08-22,0,Unknown,0
4780618,Dan_Zz 0_0,843869,Highland Masters 100,tournament/highland-masters-100,2025-11-07,33,Ultimate Singles ($150 POT BONUS!),85
4780618,Dan_Zz 0_0,846387,TGC WANTED #34,tournament/tgc-wanted-34,2025-11-08,5,Smash Ult Double Elim,28
4780618,Dan_Zz 0_0,842918,No Fundies 1: Extra Life,tournament/no-fundies-1-extra-life,2025-11-09,5,Ultimate Doubles,21
4780618,Dan_Zz 0_0,843470,NEW WAVE @ NXT Legaci Gaming,tournament/new-wave-nxt-legaci-gaming,2025-11-16,5,Smash Ultimate,16
4780618,Dan_Zz 0_0,852065,TALK SMACK GET BODIED #212,tournament/talk-smack-get-bodied-212,2025-11-17,13,Ultimate Singles,36
4780618,Dan_Zz 0_0,853250,Fate's Domain: Revival #54,tournament/fate-s-domain-revival-54,2025-11-19,1,Ultimate Singles,41
3416651,Dreamflasher,733119,Scarlet Tempest Smash Presents: The Thanksgiving Throwdown,tournament/scarlet-tempest-smash-presents-the-thanksgiving-throwdown,2024-11-23,3,Ultimate Singles,7
3416651,Dreamflasher,735541,Game Night at Dave and Busters #35 $50 KING VENIA BOUNTY,tournament/game-night-at-dave-and-busters-35-50-king-venia,2024-12-05,13,Ultimate Singles,26
3416651,Dreamflasher,734629,Bug's Bash 12,tournament/bug-s-bash-12,2024-12-06,5,Bugs Bash Singles,13
