player_id,player_tag,tournament_name,tournament_date,event_name,placement,total_entrants
735414,Aero,Encore Smash Monthly #49 - $250 Pot Bonus,2025-10-04,2XKO Singles,4,9
735414,Aero,Encore Fight Night #57 - FT. 2XKO,2025-10-13,2xko singles,5,11
735414,Aero,Encore Fight Night #59 - FT. 2XKO,2025-10-27,2xko singles,7,8
735414,Aero,Encore Fight Night #61 - FT. 2XKO,2025-11-11,2xko singles,3,7
796048,Drilago,Encore Fight Night #59 - FT. 2XKO,2025-10-27,2xko singles,4,8
796048,Drilago,Encore Fight Night #60 - FT. 2XKO,2025-11-04,2xko singles,6,7
796048,Drilago,Encore Fight Night #61 - FT. 2XKO,2025-11-11,2xko singles,5,7
796048,Drilago,Encore Fight Night #58 - FT. 2XKO,2025-10-20,2xko singles,7,11
155949,Homie,Encore Fight Night #55 - An FGC Weekly,2025-09-29,2xko singles,2,12
5087549,Oreo,N/A,N/A,N/A,N/A,N/A
408064,PRC,Encore Fight Night #58 - FT. 2XKO,2025-10-20,2xko singles,5,11
408064,PRC,Encore Fight Night #54 - FT. 2XKO,2025-09-22,2xko singles,7,11
408064,PRC,Encore Fight Night #55 - An FGC Weekly,2025-09-29,2xko singles,7,12
408064,PRC,Encore Fight Night #56 - FT. 2XKO,2025-10-06,2xko singles,2,8
1539676,Steel Legend,Encore Fight Night #57 - FT. 2XKO,2025-10-13,2xko singles,7,11
1539676,Steel Legend,Encore Fight Night #54 - FT. 2XKO,2025-09-22,2xko singles,9,11
1539676,Steel Legend,Encore Fight Night #53 - FT. 2XKO,2025-09-16,2xko singles,5,10
1539676,Steel Legend,Encore Fight Night #58 - FT. 2XKO,2025-10-20,2xko singles,9,11
1539676,Steel Legend,Encore Fight Night #59 - FT. 2XKO,2025-10-27,2xko singles,7,8
1539676,Steel Legend,Encore Fight Night #60 - FT. 2XKO,2025-11-04,2xko singles,7,7
1539676,Steel Legend,Encore Fight Night #61 - FT. 2XKO,2025-11-11,2xko singles,7,7
1539676,Steel Legend,Encore Fight Night #56 - FT. 2XKO,2025-10-06,2xko singles,7,8
1539676,Steel Legend,Encore Fight Night #55 - An FGC Weekly,2025-09-29,2xko singles,9,12
